id,width,height
0.0,8.794974378146396,2.0
1.0,2.0,4.44718861644873
2.0,8.989066393868834,3.3880656600227796
3.0,2.0,6.338977244691624
4.0,6.365235178556116,3.2453387834593324
5.0,2.1550652161691284,2.3743071622809686
6.0,6.174989349933768,3.3975415529229824
7.0,2.0,5.442792726784828
8.0,2.5569902848022017,2.0
9.0,2.157053069655524,3.3563293117537643
10.0,4.123136284204535,2.0
11.0,8.586658637945652,3.0542361791374146
12.0,3.743907076814933,14.000831509778719
13.0,5.812780568941178,2.226441865051851
14.0,3.2616475255155772,2.5937513326736803
15.0,2.7798155996522405,2.634944817092397
16.0,10.269852103892402,3.579146607947798
17.0,2.0,2.0
18.0,2.0,2.399682399436564
19.0,2.0,2.0
20.0,2.1218524421814777,2.0
21.0,5.120136157662846,4.500561040586713
22.0,10.784180397127793,3.121450252468632
23.0,2.7397692018048825,2.066750242872963
24.0,2.6999498767345558,4.613966003339226
25.0,2.0,2.0
26.0,2.584481706336696,2.0
27.0,2.0,3.4050230797622745
28.0,2.0,5.377309831427972
29.0,3.00847485703748,2.0
30.0,3.8747326320692026,12.092711699203717
31.0,10.148178074220862,10.91360066487326
32.0,2.0,3.6158727474086585
33.0,7.17368886614855,2.330042177252154
34.0,2.888652004706895,2.4631178384332397
35.0,2.0,3.919856512029216
36.0,2.9781860266468567,6.01406370919529
37.0,3.6890089257719714,3.1040935546913473
38.0,5.589507913779296,6.357720180664116
39.0,2.0,3.8332353636121352
40.0,3.0713300251044804,2.0
41.0,2.0,3.757098984807044
42.0,2.0,2.0
43.0,4.362908174775237,4.485569923576481
44.0,2.0,2.0
45.0,8.779522593394436,4.95247892276254
46.0,4.084117487922802,2.0
47.0,4.843562592634006,3.5363183521654373
48.0,31.052666810639405,4.530804259855369
49.0,3.535580899389255,2.0
50.0,3.0535032634988744,5.726462262750497
51.0,2.677071309104388,2.0
52.0,2.0,3.94606652537428
53.0,3.837826748023859,10.177340935222215
54.0,6.5195278083567985,5.081827994584776
55.0,2.1694516306377545,14.546296579685174
