net_id,modules
0,"3444,3584,4207,4359,4573"
1,"403,2473,3061,3121,3131,3499,3676,3969,4708"
2,"379,1237,3788,4214,4562,4586"
3,"393,573,1098,1440,2692,3096,3760"
4,"1148,1216,2589,2877,4015,4479,4871"
5,"463,1761,1818,1946,2162,3107,3351,4239"
6,"1321,2919,3857,4049,4614"
7,"3721,3800"
8,"1191,2989"
9,"1445,1744"
10,"137,231,438,1958,3157,3899"
11,"104,1522,2425,3116,4002"
12,"1398,1944,2203,2576,2725,2956,3039,3673,4315,4547"
13,"355,2249,2570,3432,4106,4117"
14,"1141,1229,1321,1530,2479,2609,3326"
15,"290,794,2158,2428,2471,2624,3562,3614,3634"
16,"1803,2130"
17,"3654,4276"
18,"531,775,1936,4184"
19,"915,952,1296,1398,1514,2174,2295,2332,2633"
20,"1040,1458"
21,"1807,2595,2854,3270,3306,3770,4065,4691,4948"
22,"335,374,1597,1951,1975,3681,4592,4878"
23,"346,947,1296,2617,2968,3207,3571,3721,3733,3780"
24,"1499,1573,1725,1828,2853,3131,4777"
25,"1852,3758"
26,"1724,2192,2457,2524,2568,3429,4067,4737"
27,"231,1971,3788,4444,4522"
28,"649,2653"
29,"1142,1150,1262,1674,3816,4153,4461,4624,4694,4790"
30,"769,1718,3990"
31,"666,895,1835,2379,3546"
32,"2143,3718"
33,"373,825,1867,2226,2282,2435,3025,3414,3976"
34,"638,766"
35,"290,624,768,1379,2819,3442"
36,"1517,1585,4421"
37,"955,996,1425,1725,2520,3166,3259,4082,4533,4903"
38,"672,1243"
39,"165,2381,2763"
40,"862,916,958,1661,2389,3105,3698,4567"
41,"133,1211,2407,2471,3231,3656,3844,4072,4783"
42,"619,2287,2382,2883,4653"
43,"541,1042,1100,2003,2099,3130,4024,4096,4247,4886"
44,"68,187,2805,4599"
45,"152,627,1981,3638,4570,4840,4946,4978"
46,"370,927,2253,2409,3530"
47,"2651,2685,4471"
48,"1808,4756,4827"
49,"1129,2649,3417,3420,4511,4757,4766"
50,"60,131,3478"
51,"772,3472"
52,"890,2092,2998,4234"
53,"1670,1711,2075,3630,4967"
54,"84,202,464,913,1578,2420,3840,3935,4576"
55,"47,490,1203,2352,2935,2972,3668,3691,4323,4948"
56,"2379,2736,3765"
57,"434,457,3655,4476"
58,"1515,1580,2415,2525,3418,3657,4560,4826"
59,"753,1925,3597,4217,4754"
60,"706,1318,2039,2733,3382,3562,3698"
61,"2349,3509,4096,4166"
62,"213,1183,1220,2228,2622,2933,3991,4259,4481"
63,"976,1485,2234,2606,3580"
64,"1356,1424,1761,3083,4295"
65,"2364,2587,4688"
66,"334,1608,3169,3175,3639,4123"
67,"219,2425,2609,2713,2870,3644,4494,4809"
68,"1721,1838,2086,2458,2871,2886,3464,3615,4181,4829"
69,"747,2951,2978,4115,4228,4831"
70,"286,523,538,1412,2352,3251,3331,4806"
71,"278,1389,3084,3282,3419,3896,4045,4340,4638,4729"
72,"81,961,1605,2068,4444"
73,"1062,1968,2143,4565,4743"
74,"667,4793"
75,"1213,1350,1804,1829,2188,2633,3142,4515"
76,"299,1977,2110,4860,4976"
77,"46,105,881,1275,2091"
78,"976,1779,2622,3094,3458,3976,4318,4987"
79,"823,3081,3293,3315,4176"
80,"294,1523,2602,2933,4200"
81,"1895,2466,4055,4749"
82,"130,313,724,1624,1914,2008,2530,3340,3970,4971"
83,"939,1090,1761,2189,3184,4756"
84,"132,1724,1921,3609,4705,4802"
85,"150,1682,1852,3649,3729,4109,4202,4653,4755"
86,"121,1567,2386,2553,3355,4022,4510"
87,"103,1142,2528,2871,3752,4014"
88,"1044,1591,2319,2498,2957,3324"
89,"1007,1991,2538,2902,3110,3633,4199,4351,4900"
90,"473,1074,1211,1612,2048,3498,4258,4795"
91,"1774,2113,2738,3346,3729,3844"
92,"1104,2663,4316,4585"
93,"1515,1782,2485,2536,2704,2843,3296,3714,4228"
94,"166,999,1510,1615,2201,3382,4418"
95,"95,2945,3430,4982"
96,"2191,2998,4999"
97,"224,1191,1484,1646,2282,3158,4114,4412,4902"
98,"1324,1534,4203"
99,"1283,3860"
100,"207,930,1324,1556,2190,2556,2945,3151"
101,"524,1795,1850,2920,4089,4103"
102,"83,203,297,564,594,884,3532"
103,"150,559,1943,2706,3023,3619,4018,4382,4410"
104,"350,2460,2797,3104,3641,3997,4585,4614"
105,"857,905,1094,2114,2407,3465,4474,4519,4593"
106,"864,1212,1889,3038,3053,3151,4109,4272,4524,4603"
107,"1674,4267"
108,"1019,1267,1654,2920,2999,3110,3159"
109,"803,2533,3389"
110,"485,3129,3613,4279,4886"
111,"261,1003,1988,2511,3287"
112,"486,1642,1954,2693,3710,4708,4949"
113,"1675,1819,2849"
114,"150,841,1455,1514,2663,2685,4267"
115,"457,870,2236,2437,3699,3927,4494"
116,"1355,3291,3662"
117,"1086,2449,2529,2653"
118,"888,3833"
119,"99,480,2816"
120,"1058,1671,2378,2921,3347,4090,4233,4274"
121,"138,1857,2796,2832,4835"
122,"1391,2127,2919,4042"
123,"396,2484"
124,"233,2153"
125,"216,1518,1910,2974,3624,4976"
126,"497,528,639,1069,1075,1753,2482,2699,3670"
127,"1650,3078,3532,4085,4225,4651"
128,"205,642,1545,1655,1939,2524,2735,4691,4916,4995"
129,"1350,1604,2645,3218,3397,3816,4252,4778"
130,"647,1872,2288,2335,3476,4427,4722"
131,"1934,2108,2272,3212,4594"
132,"220,905,1227,1630,1734,1865,1940,2163,2166,4065"
133,"1666,1773,2032,2054,2488,3190,3597,3965"
134,"903,2992,4251,4554,4711"
135,"2994,3182,3974"
136,"687,1623,2000,3211,3994,4888,4961"
137,"1139,1340,3300"
138,"904,1012,1668,2033,2488,3569"
139,"2794,3640,3650"
140,"213,491,1834,2897,3355,3407,3618,4182,4810"
141,"72,459,1085,1452,1791,2682,3996,4287"
142,"15,2500,3405,4092"
143,"265,4700"
144,"232,1641,1805,3293,3300"
145,"340,1021,1377,1393,2590,2712,2890"
146,"2032,2257,2642,2788,3625,3865,4678"
147,"1711,3595"
148,"1992,2080,2229,2435,3610,4247"
149,"1503,1806,2182,3874,4523,4632"
150,"1022,1215,1734,3516,3636,4626,4871"
151,"213,1248,1306,3138,3338,3443,4601,4612"
152,"370,742,2394,2798,3051,4084,4170,4354,4378,4858"
153,"238,4779"
154,"49,1242,3540"
155,"591,1730,2092,2239,2452,2691,4803"
156,"581,1728,3722,3746,3888,3924,4102,4307,4821"
157,"2522,3764,3793,4073"
158,"124,855,1573,1953"
159,"155,1329,2162,3260,3892,4106,4581,4809,4844"
160,"332,634,767,1031,2826,3363,3810,4803"
161,"248,655,1585,1935,2160,2402,3281,4000,4023"
162,"936,959,2893,2927"
163,"326,744,1084,1707,2163,2663,2815,3653,4668"
164,"381,1964,2982"
165,"418,2332"
166,"84,780,917,1079,1993,2364,2562,4440,4910"
167,"224,1023,1606,2394,2575,3423,3989,4848"
168,"577,2430,3617,3764"
169,"932,1163,3208"
170,"103,1052,2768,3849,3992,4983"
171,"1035,2120,2680,2744,3335,3888,4539,4824,4931"
172,"157,609,810,1393,1906,2456,2856,3210,3975,4218"
173,"159,511,3242,3256,3518,4347"
174,"2466,2854,3384,3858"
175,"1638,3100,3769"
176,"3286,3923"
177,"119,963,1176,1347,1768,1836,3001,4092,4342,4693"
178,"883,1202,2191,3486,3631,4124,4156,4512"
